"Country_Name","Country_Code","Year","Debt","GDP","GDP_Per_Capita","Revenue","Category","pandemic_year"
"Albania","ALB",2015,79.39046801,11.386853113,3952.80357364813,19.88383798,"Developing",0
"Albania","ALB",2016,80.3954345,11.861199831,4124.05538986272,19.04312387,"Developing",0
"Albania","ALB",2017,76.34373833,13.019726212,4531.03220675893,20.22136477,"Developing",0
"Albania","ALB",2018,74.0172045,15.156424015,5287.66080067575,19.86565461,"Developing",0
"Albania","ALB",2019,75.37468496,15.401826127,5396.2142432843,19.39034724,"Developing",0
"Albania","ALB",2020,83.26949296,15.162734205,5343.0377039956,17.97322177,"Developing",1
"Albania","ALB",2021,82.11359862,17.930565119,6377.20309553753,19.30012092,"Developing",1
"Armenia","ARM",2019,50.02842069,13.619290539,4828.50488626598,23.941241,"Developing",0
"Armenia","ARM",2020,63.40121401,12.641698583,4505.86774175695,24.14473231,"Developing",1
"Armenia","ARM",2021,60.08035977,13.878908629,4972.78320361917,23.38782887,"Developing",1
"Armenia","ARM",2022,46.55189867,19.513474648,7018.05150434798,23.45645594,"Developing",0
"Australia","AUS",2015,46.46578853,1351.77,56758.8692027821,24.50014864,"Developed",0
"Australia","AUS",2016,54.64430213,1207.58,49918.7939327254,24.84779401,"Developed",0
"Australia","AUS",2017,53.26422179,1326.88,53954.553494614,24.81729338,"Developed",0
"Australia","AUS",2018,54.42969692,1429.73,57273.5204750079,25.80860795,"Developed",0
"Australia","AUS",2019,60.14198669,1394.67,55049.571919719,26.04000324,"Developed",0
"Australia","AUS",2020,69.21905595,1330.38,51868.2475567823,25.24506222,"Developed",1
"Australia","AUS",2021,69.90771702,1559.03,60697.2454358579,25.65535657,"Developed",1
"Australia","AUS",2022,57.97474821,1692.96,65077.676668821,26.17257431,"Developed",0
"Austria","AUT",2015,95.08426588,381.971,44195.8175947748,32.6601538,"Developed",0
"Austria","AUT",2016,94.69463696,395.837,45307.5878620429,31.09887518,"Developed",0
"Austria","AUT",2017,89.40540885,417.261,47429.1584564387,30.98626558,"Developed",0
"Austria","AUT",2018,84.21549189,454.991,51466.5565633634,31.02629871,"Developed",0
"Austria","AUT",2019,83.11997121,444.596,50067.5857265892,31.15245509,"Developed",0
"Austria","AUT",2020,99.90690188,435.049,48789.4978498872,30.01462685,"Developed",1
"Austria","AUT",2021,94.63867736,479.295,53517.8904509612,31.74381335,"Developed",1
"Austria","AUT",2022,75.05117642,470.942,52084.6811953372,31.69938467,"Developed",0
"Azerbaijan","AZE",2020,22.25475729,42.693,4229.91064904503,29.95118362,"Developing",1
"Azerbaijan","AZE",2021,16.86849808,54.825411765,5408.04535175023,32.36648527,"Developing",1
"Belgium","BEL",2015,108.5816486,462.336,41008.296719472,26.03946135,"Developed",0
"Belgium","BEL",2016,110.1821227,476.063,42012.6227191016,24.05669294,"Developed",0
"Belgium","BEL",2017,103.8647204,502.765,44198.4823908691,24.60992594,"Developed",0
"Belgium","BEL",2018,101.3831517,543.299,47544.9811472757,25.10594482,"Developed",0
"Belgium","BEL",2019,103.366617,535.866,46641.7214017087,23.67548251,"Developed",0
"Belgium","BEL",2020,119.2694365,526.022,45587.968308319,22.85777504,"Developed",1
"Belgium","BEL",2021,108.0102876,600.904,51863.8311565054,23.88613813,"Developed",1
"Belgium","BEL",2022,94.03943214,583.614,49942.0906424887,23.93874421,"Developed",0
"Burkina Faso","BFA",2018,45.57386105,15.890066221,779.202768619387,16.82275769,"Developing",0
"Burkina Faso","BFA",2019,47.06236338,16.032813502,765.229560401644,18.60654705,"Developing",0
"Burkina Faso","BFA",2020,73.38519256,17.725010531,823.552410880968,16.03576761,"Developing",1
"Burkina Faso","BFA",2021,55.73601048,19.643166854,888.803610895832,18.10866317,"Developing",1
"Burkina Faso","BFA",2022,62.52560943,18.820219331,830.043965850311,19.68783407,"Developing",0
"Bulgaria","BGR",2015,30.85154895,50.811995689,7078.86032298969,27.02708653,"Developing",0
"Bulgaria","BGR",2016,35.54411054,53.964253212,7570.93165511708,24.86531777,"Developing",0
"Bulgaria","BGR",2017,32.23505414,59.309748166,8381.88134621669,25.46826388,"Developing",0
"Bulgaria","BGR",2018,28.69915361,66.370132238,9447.65589681469,25.64771803,"Developing",0
"Bulgaria","BGR",2019,26.93617066,68.881010246,9874.33632625168,26.57084438,"Developing",0
"Bulgaria","BGR",2020,32.26059232,70.368758395,10148.3423954435,24.80975049,"Developing",1
"Bulgaria","BGR",2021,32.89592156,84.041493016,12219.3418706779,25.64328141,"Developed",1
"Bulgaria","BGR",2022,30.29895731,90.346169915,13974.4492487792,28.80428339,"Developed",0
"Bahrain","BHR",2015,63.4862586,31.125851064,22850.6653959938,17.20862114,"Developed",0
"Bahrain","BHR",2016,74.14615642,32.250132979,22877.9351764172,15.41656924,"Developed",0
"Bahrain","BHR",2017,81.42325905,35.423643617,24315.4975906804,16.31443519,"Developed",0
"Bahrain","BHR",2018,88.23971823,37.802005319,25415.8466249472,19.52626684,"Developed",0
"Bahrain","BHR",2019,95.59885022,38.653318085,25869.1129129041,19.96990722,"Developed",0
"Bahrain","BHR",2020,115.5171158,34.621807713,23433.1872362574,15.99636729,"Developed",1
"Bahamas, The","BHS",2015,48.29858035,11.6719,29722.4068429349,14.83503566,"Developed",0
"Bahamas, The","BHS",2016,50.78514444,11.7451,29661.1410792573,16.93718745,"Developed",0
"Bahamas, The","BHS",2017,53.52854119,12.2367,30666.8838654704,16.91840137,"Developed",0
"Bahamas, The","BHS",2018,57.41367967,12.6158,31389.9269978552,16.16824934,"Developed",0
"Bahamas, The","BHS",2019,57.82838309,13.0162,32173.9581814182,18.64040964,"Developed",0
"Bahamas, The","BHS",2020,82.25603025,9.9582,24499.1647620617,20.95587864,"Developed",1
"Bahamas, The","BHS",2021,87.39033166,11.3689,27871.3723259771,16.78318997,"Developed",1
"Bahamas, The","BHS",2022,82.15955396,13.1364,32041.2503902591,19.8341812,"Developed",0
"Bosnia and Herzegovina","BIH",2016,47.94648437,17.116926328,4917.26376596306,25.24972566,"Developing",0
"Bosnia and Herzegovina","BIH",2017,44.97074106,18.326373366,5327.39230422044,25.65896357,"Developing",0
"Bosnia and Herzegovina","BIH",2018,40.83070239,20.484053869,6024.49314979655,25.84194684,"Developing",0
"Bosnia and Herzegovina","BIH",2019,40.26596715,20.482608755,6094.72482322311,25.00305084,"Developing",0
"Bosnia and Herzegovina","BIH",2020,44.73336316,20.226036564,6095.10423658487,30.37231294,"Developing",1
"Bosnia and Herzegovina","BIH",2021,45.38086256,23.672712242,7237.27446250665,30.04718335,"Developing",1
"Bosnia and Herzegovina","BIH",2022,39.92730797,24.534663636,7587.58817346075,29.55727979,"Developing",0
"Belarus","BLR",2015,37.5980986,56.454889147,5967.06856034227,18.60898559,"Developing",0
"Belarus","BLR",2016,38.92409841,47.723545321,5039.77560949445,18.06321136,"Developing",0
"Belarus","BLR",2017,39.88017996,54.72530225,5785.53397723676,18.92458318,"Developing",0
"Belarus","BLR",2018,37.09564601,60.031173808,6360.05310087258,20.18923398,"Developing",0
"Belarus","BLR",2019,33.24422862,64.410122847,6837.76832136779,18.68739144,"Developing",0
"Belarus","BLR",2020,38.58903327,61.371755326,6542.8645398436,17.26312123,"Developing",1
"Brazil","BRA",2015,67.53755403,1802.21,8783.2154236384,29.2514316,"Developing",0
"Brazil","BRA",2016,73.41880381,1795.69,8680.73646873878,29.67010526,"Developing",0
"Brazil","BRA",2017,83.66920265,2063.51,9896.71889500528,27.82472985,"Developing",0
"Brazil","BRA",2018,86.60788412,1916.93,9121.02099480377,28.58288523,"Developing",0
"Brazil","BRA",2019,92.56525319,1873.29,8845.32414932264,29.1518761,"Developing",0
"Brazil","BRA",2020,98.70988195,1476.11,6923.6999117682,25.6990311,"Developing",1
"Brazil","BRA",2021,85.01150367,1670.65,7794.88097933152,27.32688783,"Developing",1
"Brazil","BRA",2022,79.10232189,1951.92,9065.49733395404,29.61603613,"Developing",0
"Barbados","BRB",2015,141.021451,4.73865045,17040.4176091311,26.58080567,"Developed",0
"Barbados","BRB",2016,146.4600534,4.84821035,17398.9870769319,29.52736466,"Developed",0
"Bhutan","BTN",2015,82.28779493,2.154921011,2899.22829354394,18.24699963,"Developing",0
"Bhutan","BTN",2016,93.67291868,2.322730512,3097.96123360501,17.47688122,"Developing",0
"Bhutan","BTN",2017,95.77868108,2.591358115,3427.17384540098,17.65164052,"Developing",0
"Bhutan","BTN",2018,95.84782115,2.583335723,3389.77730275615,21.74787974,"Developing",0
"Bhutan","BTN",2019,90.35735791,2.735683409,3564.59877149986,18.8336305,"Developing",0
"Bhutan","BTN",2020,111.0078973,2.457604042,3181.33974675871,20.02848315,"Developing",1
"Botswana","BWA",2015,19.08697767,13.530748845,5869.73757890628,35.32039,"Developing",0
"Botswana","BWA",2016,15.80495231,15.082637184,6411.5518615966,34.77393997,"Developing",0
"Botswana","BWA",2017,14.68076918,16.105155857,6705.34084567283,33.58084839,"Developing",0
"Botswana","BWA",2018,15.23071514,17.031943186,6947.81784114167,30.70783065,"Developing",0
"Botswana","BWA",2019,16.19390431,16.725908149,6691.16084579207,30.12897434,"Developing",0
"Botswana","BWA",2020,19.61608146,14.960291106,5875.07043504191,28.76564534,"Developing",1
"Canada","CAN",2015,51.67209092,1556.51,43594.1941045394,14.40006792,"Developed",0
"Canada","CAN",2016,52.57830902,1527.99,42314.0615817218,14.42682,"Developed",0
"Canada","CAN",2017,50.78380728,1649.27,45129.628116623,14.54255992,"Developed",0
"Canada","CAN",2018,48.94895137,1725.33,46539.1761570405,15.03015648,"Developed",0
"Canada","CAN",2019,48.58497478,1743.73,46352.8693445211,14.66910562,"Developed",0
"Canada","CAN",2020,69.85858306,1655.68,43537.839298904,15.26593249,"Developed",1
"Canada","CAN",2021,65.59913838,2007.47,52496.8441693242,15.33182924,"Developed",1
"Canada","CAN",2022,56.09299293,2161.48,55509.393176404,14.42798802,"Developed",0
"Switzerland","CHE",2015,20.44871662,694.118,83806.4476003837,10.88365213,"Developed",0
"Switzerland","CHE",2016,19.41492875,687.895,82153.0745447889,10.60592692,"Developed",0
"Switzerland","CHE",2017,20.35252541,695.201,82254.3769269767,11.31100688,"Developed",0
"Switzerland","CHE",2018,18.76316119,725.569,85217.3691512274,10.95362692,"Developed",0
"Switzerland","CHE",2019,19.08351154,721.369,84121.9310304414,11.10370575,"Developed",0
"Switzerland","CHE",2020,20.92675962,741.999,85897.7843338323,10.64709914,"Developed",1
"Switzerland","CHE",2021,20.07300852,813.409,93446.4344518943,11.46562693,"Developed",1
"Switzerland","CHE",2022,18.15449534,818.427,93259.9057183024,10.50423584,"Developed",0
"Congo, Dem. Rep.","COD",2022,15.98969681,65.80154762,664.593543336696,14.16466918,"Developing",0
"Colombia","COL",2015,52.95522576,293.492,6228.65162110371,18.92588693,"Developing",0
"Colombia","COL",2016,66.52520866,282.72,5936.26102166829,19.04284033,"Developing",0
"Colombia","COL",2017,66.45029712,311.867,6449.97098770131,19.80957654,"Developing",0
"Colombia","COL",2018,71.32989407,334.198,6782.03792028237,18.68901197,"Developing",0
"Colombia","COL",2019,72.32711612,323.032,6436.50921493811,20.88827493,"Developing",0
"Colombia","COL",2020,90.7463536,270.348,5308.16470717512,19.00683071,"Developing",1
"Colombia","COL",2021,80.03501691,318.525,6182.9559438651,18.49943446,"Developing",1
"Colombia","COL",2022,69.87320408,345.33,6657.08669677355,20.14510876,"Developing",0
"Costa Rica","CRI",2022,71.11157641,69.243626029,13365.3563992546,18.00349469,"Developed",0
"Cyprus","CYP",2015,157.0158313,19.909269064,23487.21875,29.62239566,"Developed",0
"Cyprus","CYP",2016,151.2804058,21.046452116,24715.142578125,28.1243176,"Developed",0
"Cyprus","CYP",2017,142.3359437,22.946583375,26697.005859375,28.4632985,"Developed",0
"Cyprus","CYP",2018,148.5256558,25.597301191,29419.88671875,28.95709569,"Developed",0
"Cyprus","CYP",2019,147.160719,25.947020102,29419.9921875,27.76966827,"Developed",0
"Cyprus","CYP",2020,175.1464533,25.227189745,28281.412109375,26.53588159,"Developed",1
"Cyprus","CYP",2021,152.6552865,29.482912835,32745.83984375,29.07725283,"Developed",1
"Cyprus","CYP",2022,125.9222918,29.25053202,32048.248046875,30.03071606,"Developed",0
"Czechia","CZE",2015,47.77259286,188.033,17829.6983223668,25.85810284,"Developed",0
"Czechia","CZE",2016,44.41059832,196.272,18575.2320271915,26.2335484,"Developed",0
"Czechia","CZE",2017,40.85881446,218.629,20636.199952435,26.18662296,"Developed",0
"Czechia","CZE",2018,38.34342341,249.001,23424.4804601855,26.37157694,"Developed",0
"Czechia","CZE",2019,36.64400817,252.548,23664.8478631108,26.24566218,"Developed",0
"Czechia","CZE",2020,45.61687234,245.975,22992.8793833348,25.77733809,"Developed",1
"Czechia","CZE",2021,47.28267818,281.791,26822.5141862111,25.11008449,"Developed",1
"Czechia","CZE",2022,46.82282014,290.566,27226.6156386023,25.01197187,"Developed",0
"Germany","DEU",2015,51.5931967,3357.59,41103.2564363768,12.8198587,"Developed",0
"Germany","DEU",2016,49.90107633,3469.85,42136.1207907991,12.575078,"Developed",0
"Germany","DEU",2017,47.8698319,3690.85,44652.5891722719,12.61480919,"Developed",0
"Germany","DEU",2018,46.0028228,3974.44,47939.2782884504,12.80601405,"Developed",0
"Germany","DEU",2019,44.65086022,3889.18,46805.1384334439,12.83517217,"Developed",0
"Germany","DEU",2020,55.07111316,3887.73,46749.4762280016,12.03644237,"Developed",1
"Germany","DEU",2021,54.47964727,4278.5,51426.7503654421,12.5075122,"Developed",1
"Germany","DEU",2022,44.52882654,4082.47,48717.9911402128,12.52457562,"Developed",0
"Denmark","DNK",2015,42.94454924,302.673,53254.8563700916,39.31684406,"Developed",0
"Denmark","DNK",2016,40.66935467,313.116,54663.9983719195,38.50155783,"Developed",0
"Denmark","DNK",2017,38.3727929,332.121,57610.0981801135,38.81849187,"Developed",0
"Denmark","DNK",2018,36.54626821,356.841,61591.9288698958,37.88784643,"Developed",0
"Denmark","DNK",2019,38.17240331,346.499,59592.9806886454,40.15833568,"Developed",0
"Denmark","DNK",2020,48.4031299,354.763,60836.5924121638,39.96928973,"Developed",1
"Denmark","DNK",2021,39.85566059,405.688,69268.6517983134,41.17370014,"Developed",1
"Denmark","DNK",2022,26.36931189,400.167,67790.0539923276,36.28058655,"Developed",0
"Spain","ESP",2015,110.0331336,1196.16,25754.36102944,16.50072536,"Developed",0
"Spain","ESP",2016,109.1585545,1233.55,26537.1594894542,16.05274493,"Developed",0
"Spain","ESP",2017,107.7571236,1313.25,28185.3213671969,15.79701194,"Developed",0
"Spain","ESP",2018,106.6045098,1421.7,30379.7211126422,16.33181294,"Developed",0
"Spain","ESP",2019,109.6790883,1394.32,29581.5185513299,15.903166,"Developed",0
"Spain","ESP",2020,134.0349999,1278.13,26984.2962770279,15.862146,"Developed",1
"Spain","ESP",2021,126.9746309,1445.65,30488.8209528797,17.19289203,"Developed",1
"Spain","ESP",2022,104.7899116,1417.8,29674.5442864413,17.7235648,"Developed",0
"Estonia","EST",2015,13.12274003,22.89076209,17402.0376128079,30.22340454,"Developed",0
"Estonia","EST",2016,14.07077738,24.072829277,18295.3429322114,30.1334703,"Developed",0
"Estonia","EST",2017,13.42557616,26.924385103,20437.765376736,29.65475567,"Developed",0
"Estonia","EST",2018,13.45856977,30.624720196,23165.8494786437,29.3905147,"Developed",0
"Estonia","EST",2019,13.92936694,31.290453294,23581.656836882,29.90016214,"Developed",0
"Estonia","EST",2020,23.77289115,31.330419851,23565.1759437969,29.52499096,"Developed",1
"Estonia","EST",2021,23.89299664,36.864792512,27698.4793450267,30.01094101,"Developed",1
"Estonia","EST",2022,25.20109125,37.921480882,28114.1431760201,29.75690383,"Developed",0
"Ethiopia","ETH",2015,27.94312504,64.589328551,630.312619383054,9.943344344,"Developing",0
"Ethiopia","ETH",2016,29.00569007,74.296745208,705.617508543589,9.358219992,"Developing",0
"Ethiopia","ETH",2017,30.0951132,81.770886826,755.752644348666,9.444828163,"Developing",0
"Ethiopia","ETH",2018,32.5332185,84.269196626,758.29769449458,8.973363668,"Developing",0
"Ethiopia","ETH",2019,31.44884867,95.912607722,840.449601255171,7.7882248,"Developing",0
"Finland","FIN",2015,62.36346004,234.534,42801.9081167285,22.40130567,"Developed",0
"Finland","FIN",2016,62.76216221,240.771,43814.0265056965,22.6997306,"Developed",0
"Finland","FIN",2017,60.1932824,255.648,46412.1364777169,22.54165912,"Developed",0
"Finland","FIN",2018,60.26548218,275.708,49987.6261584968,22.706479,"Developed",0
"Finland","FIN",2019,60.53289863,268.515,48629.8582283032,22.64548191,"Developed",0
"Finland","FIN",2020,70.21105874,271.886,49169.7193388499,21.81710483,"Developed",1
"Finland","FIN",2021,66.21293844,296.47,53504.6936483441,22.59718188,"Developed",1
"Finland","FIN",2022,60.78703859,281.887,50734.7107480889,22.98878915,"Developed",0
"France","FRA",2015,97.98033326,2439.19,36652.9223052178,18.69127633,"Developed",0
"France","FRA",2016,102.2620449,2472.96,37062.5335723829,18.65662189,"Developed",0
"France","FRA",2017,102.2152651,2595.15,38781.0494870836,19.12240852,"Developed",0
"France","FRA",2018,101.6221344,2790.96,41557.8548588876,18.67735283,"Developed",0
"France","FRA",2019,104.9611611,2728.87,40494.8982936276,17.73940725,"Developed",0
"France","FRA",2020,123.1721712,2647.42,39179.7442596057,17.24505486,"Developed",1
"France","FRA",2021,116.8867735,2959.36,43671.3084099631,16.88073464,"Developed",1
"France","FRA",2022,98.66052415,2779.09,40886.2532680273,17.36846233,"Developed",0
"Micronesia, Fed. Sts.","FSM",2015,29.94314479,0.3164899,2891.32210264749,28.37381793,"Developing",0
"Micronesia, Fed. Sts.","FSM",2016,25.95939692,0.325,2956.56129178986,27.75054123,"Developing",0
"Micronesia, Fed. Sts.","FSM",2017,31.59722033,0.359,3250.9281898035,32.05898106,"Developing",0
"Micronesia, Fed. Sts.","FSM",2018,23.69796607,0.392,3533.79188489935,45.82094413,"Developing",0
"Micronesia, Fed. Sts.","FSM",2019,24.15144416,0.394,3537.47115704038,40.11577487,"Developing",0
"Micronesia, Fed. Sts.","FSM",2020,27.86301425,0.372,3318.28804881095,29.77609435,"Developing",1
