Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9675335,7.00919125,8.052705822,10.57508247,11.09194916,11.51016072,10.20062464,9.405609332,8.456332308,9.963184503,12.6780099,13.03926222,,,,,,
Angola,AGO,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00919801,52.78838514,41.63336076,26.62067825,29.58056797,27.31831195,24.42501626,46.10283619,44.98660198,42.66761077,22.25074637,34.9944447,44.59228515,36.22542423,35.70586261,30.88454851,18.77664497,15.72076938,16.36059143,21.98783462,21.79160744,,,,
Albania,ALB,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.94229774,,,,19.78169646,20.01302273,20.04176608,,,,,,,19.68746694,18.85650929,17.98883673,19.54421793,19.88383798,19.04312387,20.22136477,19.86565461,19.39034724,17.97322177,19.30012092,,
Andorra,AND,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.993145379,2.862656222,2.76064443,2.637348683,3.118594922,3.539016507,3.054859785,3.041579462,4.36583754,4.1131505,3.086346969,2.977293576,
Argentina,ARG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16165462,13.06554669,12.43746346,12.15194185,12.40949433,11.8191464,13.06911764,12.25938872,13.51679434,12.34186898,12.59664338,12.74953014,13.66155259,13.06691706,11.98966905,10.75707524,9.447890044,10.80232081,9.607993272,10.75069486,10.59140565,
Armenia,ARM,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.52740259,16.45600029,16.74472038,18.60677233,,,,,,24.11681675,24.51455671,23.09249267,22.83472889,22.52546511,22.45363437,23.941241,24.14473231,23.38782887,23.45645594,
American Samoa,ASM,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,20.39868005,19.4520273,20.29919486,22.07283699,22.57762634,22.9649803,23.04726913,22.21454977,22.70228509,23.64168603,23.80229391,24.21810656,23.57243806,25.09395104,25.44055017,26.16246381,25.62235806,24.72364402,24.43222674,24.20633679,22.70483922,22.0079645,22.21572145,,,,,25.09251263,25.88346608,27.05349999,25.97515223,26.58347321,26.54668674,26.99661351,26.94038026,26.39117815,26.59064842,24.47819597,23.2974108,22.70614831,23.43302338,24.45030554,24.35783071,24.50014864,24.84779401,24.81729338,25.80860795,26.04000324,25.24506222,25.65535657,26.17257431,
Austria,AUT,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.47815581,31.7649011,31.98577116,32.05963678,32.21653821,31.82354768,33.8033343,32.92684304,32.46458698,32.17342679,32.0452427,31.45432764,31.55725425,32.19756435,31.92986961,31.45635584,31.68422744,32.05087264,32.44796243,32.26776171,32.6601538,31.09887518,30.98626558,31.02629871,31.15245509,30.01462685,31.74381335,31.69938467,
Azerbaijan,AZE,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.89514964,38.15120149,43.99529024,43.11143965,38.65960832,37.66542917,36.92287097,30.84663479,31.72236087,32.06469352,36.40147081,39.13624808,29.95118362,32.36648527,,
Burundi,BDI,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.80950269,16.49024853,16.45634063,17.24235277,17.68034776,16.08171798,12.10560093,14.76436532,13.9517018,,,,,,,,,,,14.77641164,16.72049353,15.97322288,14.54536966,15.72264962,13.95769908,14.86747876,17.70812213,,16.56545796,17.67780438,17.55228354,,
Belgium,BEL,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.36830553,27.83937997,28.04876362,28.5414906,28.18834407,28.62958525,28.42057557,27.12907571,26.49702952,26.72770709,26.91260673,26.66095651,26.21296442,26.82187653,25.38196361,26.27253228,26.90549563,27.78897737,28.17063734,28.13200289,26.03946135,24.05669294,24.60992594,25.10594482,23.67548251,22.85777504,23.88613813,23.93874421,
Benin,BEN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,14.93498782,14.10837073,12.93072295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3986619,10.98233775,12.20347213,11.31449804,11.62446357,12.23409259,11.47775746,12.12912901,13.61963683,13.94071125,15.57449722,16.8259532,15.46513312,14.97638664,16.17725315,16.79796901,16.82275769,18.60654705,16.03576761,18.10866317,19.68783407,
Bangladesh,BGD,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.555089124,8.874651108,8.715789667,8.656751736,8.948991334,8.778411937,8.81075448,9.512890631,9.643072677,9.743829346,10.46265743,11.14523027,11.16041237,10.86688561,9.844484139,8.522796112,8.071262697,8.704805357,8.855780395,8.640898095,9.538813352,,
Bulgaria,BGR,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6505532,27.12527634,20.29830677,18.30578789,24.51864536,15.47562588,17.27046155,20.5772149,23.00628593,25.69887572,25.11179781,26.40433853,24.36795967,26.64501259,27.83600477,26.3771523,26.92897439,28.56889562,29.14064645,25.12010111,23.92674654,23.11795472,24.07603355,25.90211352,25.37083372,27.02708653,24.86531777,25.46826388,25.64771803,26.57084438,24.80975049,25.64328141,28.80428339,
Bahrain,BHR,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.83353723,21.73196407,21.03149437,22.37676408,18.04802312,18.48575921,21.11355447,22.10722405,16.79796769,20.33416135,28.89087788,26.43812684,25.9123521,25.71965813,25.52553767,27.17546267,26.03326631,24.48802384,27.39317079,19.47379466,22.20694877,25.13068317,25.73203523,24.0419981,24.38564321,17.20862114,15.41656924,16.31443519,19.52626684,19.96990722,15.99636729,,,
